,Symbol,Name
318,EASTSILK,Eastern_Silk_Industries_Limited
319,EASUNREYRL,Easun_Reyrolle_Limited
320,ECEIND,ECE_Industries_Limited
321,ECLERX,eClerx_Services_Limited
322,EDELWEISS,Edelweiss_Capital_Limited
323,EDL,Empee_Distilleries_Limited
324,EDSERV,Edserv_Softsystems_Limited
325,EDUCOMP,Educomp_Solutions_Limited
326,EICHERMOT,Eicher_Motors_Limited
327,EIDPARRY,EID_Parry_India_Limited
328,EIHAHOTELS,EIH_Associated_Hotels_Limited
329,EIHOTEL,EIH_Limited
330,EIMCOELECO,Eimco_Elecon_(India)_Limited
331,EKC,Everest_Kanto_Cylinder_Limited
332,ELDERPHARM,Elder_Pharmaceuticals_Limited
333,ELECON,Elecon_Engineering_Company_Limited
334,ELECTCAST,Electrosteel_Castings_Limited
335,ELECTHERM,Electrotherm_(India)_Limited
336,ELGIEQUIP,Elgi_Equipments_Limited
337,EMAMIINFRA,Emami_Infrastructure_Limited
338,EMAMILTD,Emami_Limited
339,EMCO,Emco_Limited
340,EMKAY,Emkay_Global_Financial_Services_Limited
341,EMMBI,Emmbi_Polyarns_Limited
342,ENERGYDEV,Energy_Development_Company_Limited
343,ENGINERSIN,Engineers_India_Limited
344,ENIL,Entertainment_Network_(India)_Limited
345,ENTEGRA,Entegra_Limited
346,ERAINFRA,Era_Infra_Engineering_Limited
347,EROSMEDIA,Eros_International_Media_Limited
348,ESABINDIA,Esab_India_Limited
349,ESCORTS,Escorts_Limited
350,ESL,Electrosteel_Steels_Limited
351,ESSAROIL,Essar_Oil_Limited
352,ESSARPORTS,Essar_Ports_Limited
353,ESSDEE,Ess_Dee_Aluminium_Limited
354,ESSELPACK,Essel_Propack_Limited
355,ESTER,Ester_Industries_Limited
356,EUROCERA,Euro_Ceramics_Limited
357,EUROMULTI,Euro_Multivision_Limited
358,EUROTEXIND,Eurotex_Industries_and_Exports_Limited
359,EVEREADY,Eveready_Industries_India_Limited
360,EVERESTIND,Everest_Industries_Limited
361,EVERONN,Everonn_Education_Limited
362,EVINIX,Evinix_Accessories_Limited
363,EXCELCROP,Excel_Crop_Care_Limited
364,EXCELINDUS,Excel_Industries_Limited
365,EXCELINFO,Excel_Infoways_Limited
366,EXIDEIND,Exide_Industries_Limited
367,FACT,Fertilizers_and_Chemicals_Travancore_Limited
368,FAGBEARING,FAG_Bearings_India_Limited
369,FAME,Fame_India_Limited
370,FARMAXIND,Farmax_India_Limited
371,FCH,Future_Capital_Holdings_Limited
372,FCSSOFT,FCS_Software_Solutions_Limited
373,FDC,FDC_Limited
374,FEDDERLOYD,Fedders_Lloyd_Corporation_Limited
375,FEDERALBNK,The_Federal_Bank_Limited
376,FIEMIND,Fiem_Industries_Limited
377,FINANTECH,Financial_Technologies_(India)_Limited
378,FINCABLES,Finolex_Cables_Limited
379,FINPIPE,Finolex_Industries_Limited
380,FIRSTLEASE,First_Leasing_Company_of_India_Limited
381,FIRSTWIN,First_Winner_Industries_Limited
382,FKONCO,Fresenius_Kabi_Oncology_Limited
383,FMGOETZE,Federal-Mogul_Goetze_(India)_Limited
384,FORTIS,Fortis_Healthcare_(India)_Limited
385,FOSECOIND,Foseco_India_Limited
386,FOURSOFT,Four_Soft_Limited
387,FSL,Firstsource_Solutions_Limited
388,FUTUREVENT,Future_Ventures_India_Limited
389,GABRIEL,Gabriel_India_Limited
390,GAEL,Gujarat_Ambuja_Exports_Limited
391,GAIL,GAIL_(India)_Limited
392,GAL,Gyscoal_Alloys_Limited
393,GALLANTT,Gallantt_Metal_Limited
394,GALLISPAT,Gallantt_Ispat_Limited
395,GAMMNINFRA,Gammon_Infrastructure_Projects_Limited
396,GAMMONIND,Gammon_India_Limited
397,GANDHITUBE,Gandhi_Special_Tubes_Limited
398,GANESHHOUC,Ganesh_Housing_Corporation_Limited
399,GARDENSILK,Garden_Silk_Mills_Limited
400,GARWALLROP,Garware_Wall_Ropes_Limited
401,GLOBOFFS,Global_Offshore_Services_Limited
402,GATI,GATI_Limited
403,GDL,Gateway_Distriparks_Limited
404,GEECEE,GeeCee_Ventures_Limited
405,GEINDSYS,GEI_Industrial_Systems_Limited
406,GEMINI,Gemini_Communication_Limited
407,GENESYS,Genesys_International_Corporation_Limited
408,GENUSPOWER,Genus_Power_Infrastructures_Limited
409,GEODESIC,Geodesic_Limited
410,GEOJITBNPP,Geojit_BNP_Paribas_Financial_Services_Limited
411,GEOMETRIC,Geometric_Limited
412,GESHIP,The_Great_Eastern_Shipping_Company_Limited
413,GHCL,GHCL_Limited
414,GICHSGFIN,GIC_Housing_Finance_Limited
415,GILLANDERS,Gillanders_Arbuthnot_&_Company_Limited
416,GILLETTE,Gillette_India_Limited
417,GINNIFILA,Ginni_Filaments_Limited
418,GIPCL,Gujarat_Industries_Power_Company_Limited
419,GISOLUTION,GI_Engineering_Solutions_Limited
420,GITANJALI,Gitanjali_Gems_Limited
421,GKWLIMITED,GKW_Limited
422,GLAXO,GlaxoSmithKline_Pharmaceuticals_Limited
423,GLENMARK,Glenmark_Pharmaceuticals_Limited
424,GLFL,Gujarat_Lease_Financing_Limited
